what,kind,bundleId,bundleVersion,description,time
activated,editor,com.bull.cimero.pluginEditor,2.7.1,"com.bull.cimero.pluginEditor.editors.DiagramEditor",1272246343218
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1272246343234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272246347125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246352328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246352812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246353140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246355921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246356750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246357218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272246357953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247519468
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272247525546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247574718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247667515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247714859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247715046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247716250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247716406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247888984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247890937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247897984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247922640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272247993296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248445484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248446250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248631125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248631750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248711093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248712031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248712125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248712968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248713718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248713734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248717515
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272248717687
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1272248718281
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1272248718296
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1272248718328
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1272248718375
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1272284136281
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1272284136296
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1272284136328
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1272284136328
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1272284136328
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1272284136437
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1272284136437
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1272284136437
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1272284136437
